target_index,target_wavelength_nm,target_peak_count,hybrid_fallback_used,hybrid_nominal_valid,hybrid_robust_valid,n_H_at_target,n_L_at_target,quarter_wave_d_H0_nm,quarter_wave_d_L0_nm,hybrid_delta_d_H_vs_quarter_wave_nm,hybrid_delta_d_L_vs_quarter_wave_nm,hybrid_rel_delta_d_H_vs_quarter_wave,hybrid_rel_delta_d_L_vs_quarter_wave,hybrid_cavity_order_nearest,hybrid_cavity_lc0_for_nearest_order_nm,hybrid_delta_L_c_vs_nearest_fp_order_nm,hybrid_cavity_optical_phase_order,hybrid_bragg_center_from_H_nm,hybrid_bragg_center_from_L_nm,hybrid_bragg_center_mean_nm,hybrid_bragg_center_offset_from_target_nm,delta_d_H_vs_dataset_nm,delta_d_L_vs_dataset_nm,delta_L_c_vs_dataset_nm,abs_delta_d_H_vs_dataset_nm,abs_delta_d_L_vs_dataset_nm,abs_delta_L_c_vs_dataset_nm,relative_delta_d_H_vs_dataset,relative_delta_d_L_vs_dataset,relative_delta_L_c_vs_dataset,hybrid_peak_shift_nm,hybrid_yield_r60,baseline_peak_shift_nm,baseline_yield_r60
46328,4479.75341796875,5,True,True,True,3.7822296531374664,1.3455297614008177,296.1053286553256,832.3400838984273,9.366076373971282,46.32147616016641,0.031630894372973756,0.05565210309614158,2,3329.3603355937094,23.65065073441565,2.014207324140658,4621.452025149488,4729.061117030839,4675.256571090164,195.50315312141356,-0.523590087890625,0.1412353515625,54.73095703125,0.523590087890625,0.1412353515625,54.73095703125,-0.0017111067051606666,0.00016076503592514962,0.016593787230042293,3.203173828125,0.65,33.63359375,0.05
61168,3379.679931640625,1,True,True,False,3.852230246113392,1.389451820935707,219.33267975418042,608.0959196851868,-12.435203557891356,-38.08890064221805,-0.05669562589500229,-0.06263633648773173,1,1216.1918393703736,-214.13477149927985,0.823930103321415,3188.066862591481,3167.9891622215487,3178.028012406515,-201.6519192341102,-6.4273529052734375,26.19183349609375,-1466.5908813476562,6.4273529052734375,26.19183349609375,1466.5908813476562,-0.03012941781012007,0.04816311532336955,-0.5940866869298989,12.01220703125,0.13333333333333333,6.005859375,0.06666666666666667
2062,4556.87255859375,1,False,True,True,3.7701156191468397,1.3416930097337258,302.1706108594721,849.0900164073511,10.942243144434144,-37.89317802844482,0.036212135631955814,-0.04462798678139864,1,1698.1800328147021,106.93373671654786,1.0629696113781923,4721.886645743084,4353.50851028431,4537.697578013697,-19.17498058005276,0.57366943359375,9.71234130859375,-105.790283203125,0.57366943359375,9.71234130859375,105.790283203125,0.0018355120314991753,0.012117940327099936,-0.0553613788467015,14.013916015625,0.55,8.008056640625,0.6833333333333333
86669,4140.3525390625,1,False,True,True,3.8181647661451947,1.3613689587012823,271.09572220233076,760.3288793605795,7.815502162903613,66.3760156589517,0.02882930833217116,0.08729908525212474,1,1520.657758721159,-52.5113964164716,0.9654679719251014,4259.71603901502,4501.801528343968,4380.758783679494,240.40624461699372,-21.705596923828125,63.2464599609375,-86.80078125,21.705596923828125,63.2464599609375,86.80078125,-0.07220353415605041,0.0828420475255912,-0.05582233557570905,2.001953125,0.8,2.001953125,0.7833333333333333
49326,4545.8251953125,5,False,True,True,3.7700922188227985,1.342250621066443,301.4399205287823,846.6796595148448,2.253988162623955,30.510037750780157,0.007477404315493568,0.036034924670639526,2,3386.7186380593794,226.43663537812063,2.133720370410145,4579.816168245408,4709.633663791481,4644.724916018445,98.89972070594467,0.7476806640625,-0.1981201171875,13.32568359375,0.7476806640625,0.1981201171875,13.32568359375,0.002468030940444701,-0.00022580677923985618,0.0037017540028411178,4.404443359375,0.9666666666666667,4.003955078125,0.9166666666666666
10136,4859.95068359375,4,False,True,True,3.7954936616943766,1.3266296539778377,320.11321298216717,915.8454036176208,-11.656273284901545,34.01238446831667,-0.03641297144941934,0.03713769194447729,1,1831.6908072352417,142.03929530382084,1.0775454540377452,4682.985438106465,5040.438034946406,4861.711736526436,1.7610529326857431,-15.216583251953125,38.8663330078125,124.5384521484375,15.216583251953125,38.8663330078125,124.5384521484375,-0.04701213467602804,0.04266377339892765,0.06734750944940178,2.00201416015625,0.9666666666666667,1.50152587890625,0.95
71791,3025.62109375,2,False,True,False,3.8546550987184176,1.3964899069714096,196.23163527366873,541.6475046911928,-14.39594191429373,70.30275165646344,-0.07336198311865896,0.1297942869625973,2,2166.5900187647712,434.68195389147877,2.4012590754380954,2803.6555301468543,3418.329426232275,3110.9924781895647,85.37138443956474,-25.547576904296875,76.10687255859375,116.57470703125,25.547576904296875,76.10687255859375,116.57470703125,-0.12319015353463708,0.14203193481727044,0.04691706657548353,8.008056640625,0.4166666666666667,4.00390625,0.45
9276,4850.81494140625,9,False,True,False,3.7962640388169877,1.3270055859937533,319.4466251429318,913.8648308276761,25.206573099255706,-19.730614519082337,0.07890699451896663,-0.021590298535958063,2,3655.4593233107043,-64.06821002945435,1.9649465610951302,5233.578169400314,4746.084398678603,4989.831284039459,139.0163426332092,-5.0968017578125,21.2921142578125,-12.49658203125,5.0968017578125,21.2921142578125,12.49658203125,-0.0145726998078985,0.02439400460608595,-0.003467528149532528,8.00802951388889,0.2,9.342664930555555,0.23333333333333334
45755,4472.02685546875,2,True,True,True,3.784022695131538,1.345920668321537,295.45454769750637,830.663158818584,6.908489411868629,49.7698856150098,0.023382579370352798,0.0599158456549287,1,1661.326317637168,74.4848395893946,1.0448345630829055,4576.594378363097,4739.972126305712,4658.283252334404,186.2563968656541,1.60479736328125,29.02044677734375,-3264.1888427734375,1.60479736328125,29.02044677734375,3264.1888427734375,0.005335838395104496,0.03408505683053152,-0.6528377685546874,11.010986328125,0.8833333333333333,46.0458984375,0.0
86349,3394.654296875,2,True,True,True,3.8511170199837603,1.388916767442284,220.36816066999924,611.0255085922677,0.6712375233601335,-19.12194413914267,0.003045982329386095,-0.031294837728129264,2,2444.1020343690707,-560.0322101503207,1.5417276347099071,3404.9943538776556,3288.4191415112,3346.7067476944276,-47.94754918057242,15.124862670898438,-32.481689453125,-1888.271240234375,15.124862670898438,32.481689453125,1888.271240234375,0.07345213698742814,-0.05202187151268318,-0.5005568711767893,2.001953125,0.8333333333333334,22.02197265625,0.11666666666666667
42577,3944.00390625,1,False,True,True,3.8259872235561585,1.369540781402981,257.711518347946,719.9500664393679,17.365019737991474,40.71063912703835,0.06738162053954572,0.05654647596378391,1,1439.9001328787358,134.5879042306392,1.0934703047506238,4209.757280867424,4167.023428335835,4188.39035460163,244.38644835162995,-22.5548095703125,68.022216796875,65.7510986328125,22.5548095703125,68.022216796875,65.7510986328125,-0.07578102826844109,0.09820738798058438,0.04358022724571472,2.001953125,0.9333333333333333,2.001953125,0.8666666666666667
62383,4213.70751953125,2,False,True,True,3.8139956005539775,1.3588489309996448,276.2003395415044,775.2347268712595,-32.60707782275438,83.4361105310843,-0.11805589333048065,0.1076269001361961,3,4651.408361227557,78.10970517869282,3.0503780999942647,3716.2545140796246,4667.2157979389785,4191.735156009301,-21.972363521948864,-17.674530029296875,44.6219482421875,-38.61181640625,17.674530029296875,44.6219482421875,38.61181640625,-0.06764909639662464,0.05481482603363465,-0.008097895266115249,4.0040283203125,0.5,13.0130615234375,0.4166666666666667
909,4420.9228515625,2,False,True,True,3.7915468745533034,1.3484494425860152,291.49862825336595,819.6308129810542,-24.991212481881576,32.27281250722706,-0.08573355089739775,0.0393748160709681,1,1639.2616259621084,418.7940381003916,1.2554772413796942,4041.9014372545976,4594.995875706713,4318.448656480656,-102.4741950818443,-24.980987548828125,51.7320556640625,391.6712646484375,24.980987548828125,51.7320556640625,391.6712646484375,-0.08570147993632828,0.06465120433537394,0.23504256568061832,17.0169677734375,0.5333333333333333,15.0150146484375,0.6666666666666666
64128,4855.8701171875,5,False,True,False,3.7958377579858604,1.3267975675992705,319.8154417276854,914.9606231894501,-1.4811826944822997,21.311227396487425,-0.00463136703619048,0.02329196126735911,1,1829.9212463789002,162.95021358203735,1.0890476647038705,4833.380800394735,4968.972855876358,4901.176828135547,45.30671094804711,-7.80194091796875,10.9683837890625,-8.8330078125,7.80194091796875,10.9683837890625,8.8330078125,-0.023922339559781566,0.011853823294353125,-0.00441274321694713,18.81875,0.45,18.418359375,0.4666666666666667
41285,4262.40185546875,2,False,True,True,3.8083720029354624,1.3560160365184322,279.80472050677594,785.831756535206,0.29873408306781357,-9.559295597705955,0.001067652048638612,-0.012164557512734838,2,3143.327026140824,21.00671409355118,2.013365910653809,4266.952617541862,4210.551622955513,4238.752120248688,-23.64973522006221,3.641143798828125,-12.82672119140625,9.304443359375,3.641143798828125,12.82672119140625,9.304443359375,0.013170488911888432,-0.01625489099710015,0.0029490830302561326,5.0048828125,0.5833333333333334,1.0009765625,0.5833333333333334
70807,4715.48095703125,2,False,False,False,3.7949206431380684,1.3337411923036055,310.64424005530446,883.8823049483059,-14.35117975257009,-79.47111110064964,-0.046198119591772016,-0.08991141768054461,2,3535.5292197932235,-440.84367291822355,1.750620829011841,4497.634603845597,4291.505379138959,4394.569991492278,-320.91096553897205,8.31939697265625,-60.46759033203125,4.058349609375,8.31939697265625,60.46759033203125,4.058349609375,0.028889436889652228,-0.06991452610250234,0.0013131152191262502,38.0380859375,0.0,24.02392578125,0.0
22242,4673.8349609375,4,False,True,True,3.7883415627441983,1.3359416989820636,308.4354250750207,874.6330331066811,-1.160644801583203,7.654747655037681,-0.0037630074473478507,0.008751953522551228,1,1749.2660662133621,-26.247633596174637,0.9849950592976442,4656.247285171818,4714.7401472877,4685.493716229759,11.65875529225923,-11.68524169921875,34.810302734375,-94.963623046875,11.68524169921875,34.810302734375,94.963623046875,-0.03663544298420101,0.041075195078224665,-0.05223573178349508,0.50048828125,0.9666666666666667,1.50152587890625,0.9666666666666667
86219,3368.286376953125,1,True,True,True,3.8533950913393693,1.389850164897991,218.52718817514054,605.8722123474984,-21.674374454437412,21.981730523595388,-0.09918388020929594,0.03628113334068497,1,1211.7444246949967,-133.48819910905922,0.8898379919159447,3034.206664430803,3490.491624124974,3262.3491442778886,-105.93723267523637,-29.13946533203125,80.1474609375,-1162.7767333984375,29.13946533203125,80.1474609375,1162.7767333984375,-0.1289400923525873,0.14633286912097823,-0.5188574887918659,0.0,0.5,4.00390625,0.0
