target_index,source,d_H,d_L,N,L_c,nominal_valid,robust_valid,yield_rate,nominal_mse,nominal_peak_shift,nominal_missing_peaks,nominal_false_peaks,robustness_mse_mean,robustness_peak_shift_mean,robustness_missing_peak_mean,robustness_false_peak_mean
188,csv_mse_188,277.6430358886719,717.0765991210938,8,1434.1531982421875,True,False,0.21666666666666667,0.000221345735280534,0.0,0,0,0.0002726171829725928,9.867047991071429,0.7666666666666667,0.0
229,csv_mse_229,335.3117980957031,849.1265258789062,5,3409.66650390625,True,True,0.5333333333333333,0.0011983304187711643,10.81083984375,0,0,0.0029264120202948237,13.900566813151043,0.36666666666666664,0.06666666666666667
909,csv_mse_909,266.5074157714844,851.9036254882812,9,2058.0556640625,True,True,0.5333333333333333,0.00029476009876921224,17.0169677734375,0,0,0.0003640161986188126,18.73539835611979,0.0,0.0
2062,csv_mse_2062,313.11285400390625,811.1968383789062,4,1805.11376953125,True,True,0.55,0.0004883202219714848,14.013916015625,0,0,0.001135814971152199,15.507001456567796,0.016666666666666666,0.38333333333333336
3961,csv_mse_3961,313.7437744140625,967.353515625,4,2091.3955078125,True,True,0.6166666666666667,0.0019023175711224138,8.675374348958334,0,0,0.0033730412806515756,13.3466796875,0.21666666666666667,0.016666666666666666
8036,csv_mse_8036,267.98968505859375,822.99755859375,4,4274.4384765625,True,True,0.8666666666666667,0.0008881119585599002,4.00390625,0,0,0.0010341055340600054,10.610599772135417,0.0,0.0
9276,csv_mse_9276,344.6531982421875,894.1342163085938,9,3591.39111328125,True,False,0.2,0.0013741437970187865,8.00802951388889,0,0,0.0025458721183553436,9.57614415082982,0.9833333333333333,0.25
10136,csv_mse_10136,308.4569396972656,949.8577880859375,7,1973.7301025390625,True,True,0.9666666666666667,0.0002664558548676787,2.00201416015625,0,0,0.0016904810488697496,8.675347900390625,0.0,0.0
11728,csv_mse_11728,232.74795532226562,626.81689453125,3,1507.960205078125,True,True,0.5833333333333334,5.795278084413229e-05,16.01611328125,0,0,0.00011278131634500322,18.15383342161017,0.016666666666666666,0.016666666666666666
12613,csv_mse_12613,293.498779296875,929.259765625,9,1676.3253173828125,True,True,0.8,0.00023223630946900587,3.203173828125,0,0,0.0008798148571725317,8.256573079427083,0.16666666666666666,0.016666666666666666
16293,csv_mse_16293,299.3924560546875,966.8765258789062,6,3356.59619140625,True,True,0.8333333333333334,0.0006948986668452986,9.00897216796875,0,0,0.001780634803137224,13.004643758138021,0.0,0.05
16958,csv_mse_16958,184.825439453125,577.4577026367188,3,1400.9796142578125,False,False,0.0,0.009025451754593907,nan,1,1,0.009038540971521033,,1.0,1.0
19847,csv_mse_19847,338.5143737792969,808.8829956054688,4,1620.502685546875,True,False,0.08333333333333333,0.0016532143421129257,19.352783203125,0,0,0.0028210093338821023,24.819278971354166,0.21666666666666667,0.6666666666666666
20814,csv_mse_20814,190.98556518554688,672.0098876953125,3,1258.8067626953125,True,True,0.6833333333333333,0.006280950641786723,12.01171875,0,0,0.0066834253025177615,15.778477555614407,0.016666666666666666,0.016666666666666666
22242,csv_mse_22242,307.2747802734375,882.2877807617188,8,1723.0184326171875,True,True,0.9666666666666667,0.00026061562967068474,0.50048828125,0,0,0.0009426538690626686,8.825492011176216,0.016666666666666666,0.0
29756,csv_mse_29756,218.9154052734375,602.7623291015625,7,1870.4781494140625,True,False,0.45,0.00045985870823148865,10.010009765625,0,0,0.0015330917852534208,19.486112467447917,0.2,0.06666666666666667
29927,csv_mse_29927,310.8138122558594,859.3567504882812,8,3286.58984375,True,True,0.6666666666666666,0.0009097431851905825,12.01201171875,0,0,0.0013238079983406514,14.59013407389323,0.21666666666666667,0.03333333333333333
30621,csv_mse_30621,293.71875,910.1878662109375,8,1622.7322998046875,True,True,0.95,0.00026669062530739233,3.5035400390625,0,0,0.000835785940250094,9.534568277994792,0.0,0.0
33209,csv_mse_33209,252.26303100585938,983.0913696289062,6,1457.8304443359375,True,True,0.7166666666666667,0.0012096567194302902,13.346761067708334,0,0,0.0016662863098990516,14.536783175998263,0.21666666666666667,0.05
35559,csv_mse_35559,300.83221435546875,831.7391357421875,4,3054.68115234375,True,False,0.38333333333333336,0.0013003549768750978,18.01806640625,0,0,0.001796294684456845,18.83246987552966,0.016666666666666666,0.21666666666666667
36767,csv_mse_36767,293.82073974609375,981.9521484375,6,3530.600341796875,True,False,0.45,0.001847078198829204,10.010107421875,0,0,0.0025317504969411945,11.217920735677081,0.5,0.05
37893,csv_mse_37893,284.18212890625,839.913818359375,8,3201.994873046875,True,False,0.06666666666666667,0.00037368011199034906,17.350748697916668,0,0,0.0005212461414782783,20.02004869249132,0.85,0.08333333333333333
40033,csv_mse_40033,295.6998291015625,828.4104614257812,8,3268.717529296875,True,False,0.3333333333333333,0.00024040064858998935,10.510498046875,0,0,0.0004109029087742981,12.328988308376738,0.6166666666666667,0.13333333333333333
41175,csv_mse_41175,232.30162048339844,617.4984130859375,3,1025.57861328125,True,True,0.6666666666666666,4.456985226798675e-05,4.00390625,0,0,0.00014443262585896448,14.047355143229167,0.0,0.0
41285,csv_mse_41285,280.10345458984375,776.2724609375,7,3164.333740234375,True,True,0.5833333333333334,2.4978443861644942e-05,5.0048828125,0,0,0.0002012444677589316,12.529158528645834,0.25,0.016666666666666666
41523,csv_mse_41523,195.28518676757812,534.5388793945312,4,3307.195068359375,True,False,0.31666666666666665,0.0020990906954424246,18.01806640625,0,0,0.004270740859391632,21.849616156684025,0.6166666666666667,0.18333333333333332
42577,csv_mse_42577,275.0765380859375,760.6607055664062,6,1574.488037109375,True,True,0.9333333333333333,0.00022374088354484316,2.001953125,0,0,0.00043819007550083695,9.776444498697916,0.0,0.0
45364,csv_mse_45364,327.01116943359375,851.5008544921875,10,3500.796875,True,False,0.25,0.0001932387132028563,4.575927734375,0,0,0.0008273544144301768,8.222493935236855,0.7833333333333333,0.43333333333333335
45755,csv_mse_45755,302.363037109375,880.4330444335938,5,1735.8111572265625,True,True,0.8833333333333333,0.005988050289269098,11.010986328125,0,0,0.006088884882451064,13.246555582682292,0.0,0.0
46328,csv_mse_46328,305.4714050292969,878.6615600585938,9,3353.010986328125,True,True,0.65,8.563303766703629e-05,3.203173828125,0,0,0.00048574773477316925,7.467460327148438,0.25,0.2
49326,csv_mse_49326,303.69390869140625,877.189697265625,6,3613.1552734375,True,True,0.9666666666666667,0.00013593819867160719,4.404443359375,0,0,0.0008282661210661568,8.448445638020832,0.0,0.03333333333333333
51988,csv_mse_51988,333.373779296875,899.4751586914062,7,1913.2548828125,True,True,0.8333333333333334,0.0011854470331518416,7.507568359375,0,0,0.0033399503601607415,13.263318888346355,0.0,0.08333333333333333
52713,csv_mse_52713,299.3435974121094,709.3055419921875,6,3219.279541015625,True,True,0.6,0.0011475691075755277,16.0159912109375,0,0,0.0010746479384744286,17.83454793294271,0.18333333333333332,0.15
60910,csv_mse_60910,278.5863037109375,844.5678100585938,10,4361.2421875,False,False,0.0,0.0007209412723613217,2.002197265625,2,2,0.000675010889736544,7.907883707682291,1.55,1.8166666666666667
61168,csv_mse_61168,206.89747619628906,570.0070190429688,9,1002.0570678710938,True,False,0.13333333333333333,0.0029239990317899093,12.01220703125,0,0,0.006322263874310766,21.75262920673077,0.13333333333333333,0.6666666666666666
62383,csv_mse_62383,243.59326171875,858.6708374023438,9,4729.51806640625,True,True,0.5,1.6724135387798674e-05,4.0040283203125,0,0,5.616118047429821e-05,8.908902994791667,0.5,0.0
64128,csv_mse_64128,318.3342590332031,936.2718505859375,8,1992.8714599609375,True,False,0.45,0.003928104927363886,18.81875,0,0,0.004534509821960697,20.332000528971353,0.05,0.016666666666666666
65253,csv_mse_65253,293.72125244140625,926.1847534179688,7,1740.357666015625,True,True,0.9,0.00020881216158456344,2.66943359375,0,0,0.0011261736814867807,8.3972900390625,0.0,0.05
65981,csv_mse_65981,280.75189208984375,956.5834350585938,10,1892.16748046875,True,False,0.4166666666666667,0.00011584944840828859,3.20322265625,0,0,0.0004934335162913567,7.357366333007813,0.5833333333333334,0.0
66405,csv_mse_66405,322.9304504394531,996.7618408203125,9,1984.1898193359375,True,True,0.8166666666666667,0.002340368742177459,9.342692057291666,0,0,0.003424684281633771,11.42696967230903,0.08333333333333333,0.016666666666666666
68054,csv_mse_68054,248.20620727539062,815.731201171875,10,2359.736572265625,True,True,0.9666666666666667,3.210671249556783e-05,0.0,0,0,3.884375788722848e-05,7.273933919270833,0.0,0.0
68828,csv_mse_68828,271.5321960449219,713.9879760742188,2,3272.067138671875,False,False,0.0,0.0011008907048487373,0.0,1,0,0.0012717576027195027,5.004988606770834,1.0,0.26666666666666666
70807,csv_mse_70807,296.2930603027344,804.4111938476562,2,3094.685546875,False,False,0.0,0.0051497960576848065,38.0380859375,1,1,0.005248828468397826,37.65163702713816,1.05,0.6666666666666666
71791,csv_mse_71791,181.835693359375,611.9502563476562,9,2601.27197265625,True,False,0.4166666666666667,0.0017792881189058632,8.008056640625,0,0,0.004849719703083421,17.70103759765625,0.1,0.31666666666666665
71950,csv_mse_71950,295.9936828613281,700.2827758789062,10,2959.025146484375,True,True,0.6333333333333333,0.00011163984013461373,18.01806640625,0,0,0.0001591462780557943,15.454054447642545,0.05,0.11666666666666667
86219,csv_mse_86219,196.85281372070312,627.8539428710938,9,1078.2562255859375,True,True,0.5,0.0010774406857418097,0.0,0,0,0.0030358794239246554,18.949959590517242,0.03333333333333333,0.06666666666666667
86349,csv_mse_86349,221.03939819335938,591.903564453125,8,1884.06982421875,True,True,0.8333333333333334,0.00041395201917095235,2.001953125,0,0,0.0014038525582683939,11.8284912109375,0.05,0.0
86669,csv_mse_86669,278.9112243652344,826.7048950195312,5,1468.1463623046875,True,True,0.8,0.00023411141087395732,2.001953125,0,0,0.0006678215148305476,11.37802734375,0.0,0.0
92705,csv_mse_92705,265.22259521484375,723.8723754882812,3,1380.7615966796875,True,True,0.8666666666666667,0.004375752631548673,6.005859375,0,0,0.004392334414778689,11.578190104166667,0.0,0.0
94414,csv_mse_94414,262.4781799316406,738.8400268554688,6,2781.7158203125,True,True,0.55,4.9230898057695e-05,14.013916015625,0,0,7.71150580756173e-05,14.463373923788266,0.18333333333333332,0.0
