method,target_index,calls,elapsed_seconds,d_H,d_L,N,L_c,mse,mae,max_abs_error,correlation,spectral_overlap,target_peak_count,pred_peak_count,missing_peak_count,false_peak_count,mean_peak_shift,mean_peak_transmission_error,mean_fwhm_error,mean_q_error,optimizer_best_mse,success,message
random,9282,24,5.936042308807373,260.63229323809855,853.9476961639547,7,4324.745859767758,0.0012832880244373342,0.01115018261410512,0.20010454952716827,0.8591472593385561,0.8716155468085861,2,3,1,2,16.01611328125,0.15837472677230835,36.47327265221155,83.96733514909235,0.0012832880020141602,,
random,10142,24,5.6148600578308105,126.39624303513538,1180.355480536964,6,3512.3514841415163,0.008602737556030554,0.044482400055445646,0.30184049904346466,0.7623504096331531,0.8219696455887826,6,3,5,2,2.001953125,0.17456361651420593,29.873715146301873,112.09607010690887,0.008602737449109554,,
random,11738,24,5.930073022842407,808.9580589984853,1072.6193188753919,4,1635.8272814461016,0.06086525577117628,0.15274742081167564,0.7702886536717415,0.518376271922163,0.6921802591616643,4,6,2,4,22.0220947265625,0.3809061124920845,84.76532979382084,148.0578358496773,0.06086525693535805,,
random,12620,24,5.045799016952515,213.98908229317453,945.6566863265576,4,3807.312039820968,0.0041117307084127044,0.01835326123275632,0.34983466551057063,0.18616094276261883,0.23601798168098953,1,1,1,1,nan,nan,nan,nan,0.004111730493605137,,
random,20823,24,6.088928937911987,256.8536689396781,859.2247065526111,6,521.2994323567158,0.001094741561979403,0.010357222373568903,0.20451867952942848,0.8377942974465018,0.8531763642883078,2,2,1,1,22.02197265625,0.015220195055007935,10.28997456044771,8.607417470445363,0.0010947416303679347,,
random,22254,24,5.3116960525512695,200.49464598862397,764.7681483021126,5,1162.119198143978,0.00022370083544066832,0.0037337572633716425,0.10493556773474211,-0.04799507699953749,0.0054470685649367955,1,0,1,0,nan,nan,nan,nan,0.00022370081569533795,,
random,29774,24,5.533240079879761,220.6937246636429,585.1731355818449,4,2645.047043910656,0.011081260874341654,0.0462965603280303,0.42877229122268545,-0.0949818890034985,0.0382064134869237,2,0,2,0,nan,nan,nan,nan,0.011081261560320854,,
random,29958,24,5.633742094039917,240.9833982393898,580.7878195735933,3,3427.2143200782466,0.021253200221128803,0.060379100631710446,0.7479035087162629,0.28245236177757566,0.3766597062340353,3,1,3,1,nan,nan,nan,nan,0.021253202110528946,,
random,30639,24,5.4525909423828125,337.13017181953694,275.34596069415903,2,559.559509772982,0.031781586150557206,0.08404173482593842,0.559276893734932,0.3089674142823775,0.43212995871973153,2,1,2,1,nan,nan,nan,nan,0.03178158402442932,,
random,35587,24,5.286671876907349,804.756513682112,736.438615917817,5,4363.190619475028,0.016909908431132614,0.0630894058020691,0.5655460953712426,0.7783395508392099,0.8333146973522283,4,6,2,4,12.011962890625,0.1012217253446579,25.679695710132382,24.983702993203693,0.01690990850329399,,
random,37910,24,5.453794002532959,277.214506634549,747.8246341073,7,1625.2286932036834,0.007487064456142127,0.028278641075604773,0.390947911888361,0.36471271748748396,0.40786235851949426,2,1,1,0,30.030029296875,0.3222957104444504,83.35761752073697,85.83789030833852,0.007487064693123102,,
random,41308,24,5.701511859893799,294.6914670720927,826.1784146862499,7,1866.5084843669824,0.0044571430478314925,0.027690300331951287,0.24595417827367783,0.6983579463446947,0.7462702948126824,4,3,2,1,27.0269775390625,0.08058739453554153,7.775321981047856,24.4504084657055,0.004457142669707537,,
random,45390,24,5.36559796333313,275.4863361457008,908.9080246403686,6,1556.1696585110287,0.002871462328643715,0.01932452565825402,0.30182933434844017,0.82052864214379,0.8488826846716899,2,2,0,0,31.0311279296875,0.050637103617191315,7.751435178974575,10.96685122502035,0.002871462609618902,,
random,45790,24,6.30289626121521,197.76613035580795,620.8534710172378,5,1845.7889486839824,0.024203379705813512,0.06670126687763189,0.6899961821352383,-0.11497292212530663,2.50115543808434e-08,1,2,1,2,nan,nan,nan,nan,0.024203378707170486,,
random,61214,24,6.262394905090332,240.56960220133712,689.6253199683148,9,2549.3462480304115,0.024691099634246337,0.05563791121940013,0.6843077540383169,-0.01779011997564126,0.07414519440993082,2,0,2,0,nan,nan,nan,nan,0.02469109743833542,,
random,65291,24,5.305103778839111,369.4743541007808,422.98597488878687,8,1018.6394677971136,0.00682866110834197,0.033903767783684625,0.4691818950526445,0.849611207562254,0.8690205183743802,1,3,1,3,nan,nan,nan,nan,0.006828661076724529,,
random,66458,24,5.7846760749816895,299.3352423643989,245.61523593511046,9,4301.583693357629,0.023523938668788713,0.06380530130111182,0.8011017313619959,0.7744139594578486,0.8197422449928919,1,5,0,4,24.0244140625,0.0012573003768920898,11.310060864828515,5.611363212960278,0.023523937910795212,,
random,68880,24,5.329606771469116,233.31850687577554,1134.1765764207785,4,3328.6187708552898,0.03275613419663775,0.09234113595799075,0.641284798970446,0.28767357587341275,0.42333692313895477,2,3,2,3,nan,nan,nan,nan,0.03275613486766815,,
random,86277,24,5.482659101486206,182.50536074532215,674.023513544037,8,1193.3242690343143,0.01353883287778374,0.04871183343065883,0.4589687790721655,-0.020391054734710604,0.0692739521272993,2,1,2,1,nan,nan,nan,nan,0.013538832776248455,,
random,94464,24,5.623920202255249,210.010392660093,697.9264176678868,9,3558.374068580951,0.0022632363557694517,0.015148067223183966,0.3538590073583353,-0.051606037028702784,0.012667837746051517,2,0,2,0,nan,nan,nan,nan,0.0022632363252341747,,
