method,targets,candidate_or_optimization_budget,surrogate_calls_per_target,real_tmm_calls_per_target_nominal_selection,additional_robustness_tmm_calls_per_final_design,fallback_triggered_targets,wall_time_or_mean_seconds_per_target,nominal_valid,robust_valid,mean_yield,source_files
Baseline CVAE,50,60 CVAE candidates; top-24 real-TMM rerank,60 surrogate spectra,24,60,0,not recorded in summary artifact,35/50 = 70%,24/50 = 48%,0.471,reports/inverse_tmm_strategy12_robust_top24_50x60_r3.json; reports/baseline_strategy12_50targets_final_robustness_r60_summary.json
Teacher replay CVAE,50,60 CVAE candidates; top-24 real-TMM rerank,60 surrogate spectra,24,60,0,not recorded in summary artifact,33/50 = 66%,24/50 = 48%,0.424,reports/inverse_tmm_teacher_replay_strategy12_robust_top24_50x60_r3.json; reports/teacher_replay_strategy12_50targets_final_robustness_r60_summary.json
Hybrid workflow,50,60 teacher-replay candidates; top-24 real-TMM rerank; fallback uses 180 residual candidates plus local refinement on failed targets,60 surrogate spectra for primary candidates,24 primary; fallback adds 180 residual-candidate TMM calls plus local-refinement trials when triggered,60,13,fallback local-refinement mean 112.9 TMM trials over 17 attempted targets; end-to-end wall time not recorded,46/50 = 92%,32/50 = 64%,0.558,reports/inference_time_hybrid_teacher_replay_plus_residual_refine_50targets_failures17.json; reports/physics_prior_residual_old_teacher_50failures_17_v3_targetwl.json; reports/physics_prior_residual_old_teacher_50failures_17_local_refine.json; reports/inference_time_hybrid_50targets_final_robustness_r60_summary.json
"Direct random TMM optimization, 24-call sanity check",20,24 direct real-TMM objective calls per target,0,24,not evaluated,not applicable,5.6 s per target (recorded run),0/20 = 0%,not evaluated,not evaluated,reports/optimization_random_20targets_24calls.json; reports/optimization_random_20targets_24calls.csv
"Direct random TMM optimization, 240-call sanity check",20,240 direct real-TMM objective calls per target,0,240,not evaluated,not applicable,57.3 s per target (recorded run),1/20 = 5%,not evaluated,not evaluated,reports/optimization_random_20targets_240calls.json; reports/optimization_random_20targets_240calls.csv
Differential evolution TMM optimization on 7 hard targets,7,216 direct real-TMM objective calls per target,0,216,not evaluated,not applicable,51.7 s per target (recorded run),1/7 = 14%,not evaluated,not evaluated,reports/optimization_de_failures_7targets_physics_score_maxiter8_pop5.json
"Direct differential-evolution TMM optimization, 10-target budgeted check",10,"physics-score objective; maxiter=4, popsize=4, polish disabled",0,81,not evaluated,not applicable,19.1 s per target (recorded run),0/10 = 0%,not evaluated,not evaluated,reports/optimization_de_10targets_physics_score_maxiter4_pop4_nopolish.json; reports/optimization_de_10targets_physics_score_maxiter4_pop4_nopolish.csv
"Direct pycma bounded CMA-ES TMM optimization, 20-target strong check",20,physics-score objective; 4 restarts; population 8; normalized bounded search,0,320,not evaluated,not applicable,80.5 s per target (recorded run),6/20 = 30%,not evaluated,not evaluated,reports/optimization_pycma_20targets_physics_score_320calls.json; reports/optimization_pycma_20targets_physics_score_320calls.csv
