target_index,source,d_H,d_L,N,L_c,nominal_valid,robust_valid,yield_rate,nominal_mse,nominal_peak_shift,nominal_missing_peaks,nominal_false_peaks,robustness_mse_mean,robustness_peak_shift_mean,robustness_missing_peak_mean,robustness_false_peak_mean
30621,csv_mse_30621,294.6830139160156,846.6317138671875,8,1606.4234619140625,True,False,0.15,0.0028529121372982405,7.00701904296875,0,0,0.009133725656583566,10.477164713541667,0.0,1.2166666666666666
33209,csv_mse_33209,265.48345947265625,913.062255859375,6,1473.900634765625,True,False,0.35,0.0004238098707487621,6.8068359375,0,0,0.004570644449870223,10.675097249348958,0.8166666666666667,0.05
35559,csv_mse_35559,286.98321533203125,815.6543579101562,4,2903.230712890625,False,False,0.0,0.005378585725747969,12.011962890625,2,1,0.008078491365586454,17.65097452799479,1.55,1.15
36767,csv_mse_36767,286.9157409667969,954.988037109375,6,3469.175537109375,True,False,0.35,0.0027182671107671245,6.00595703125,0,0,0.006831820239036094,10.150160319010416,0.0,0.65
37893,csv_mse_37893,268.1125793457031,840.0154418945312,8,3135.141845703125,True,False,0.25,5.61928077929925e-05,1.0009765625,0,0,0.005776524746261265,7.724396430121527,0.1,0.7166666666666667
40033,csv_mse_40033,277.4452209472656,823.0299682617188,8,3156.7041015625,False,False,0.05,0.014913381867723834,13.21318359375,0,0,0.014706859197935703,12.75885016547309,0.5166666666666667,1.05
41175,csv_mse_41175,223.159423828125,505.5662536621094,4,1177.822509765625,True,True,0.7833333333333333,0.0010777667318208975,6.00634765625,0,0,0.0012583183319378318,13.847216796875,0.0,0.0
41285,csv_mse_41285,255.92523193359375,786.169921875,8,1943.6771240234375,True,False,0.13333333333333333,0.009972666623712457,9.342610677083334,0,0,0.01118974673863859,11.872962103949654,0.25,0.48333333333333334
41523,csv_mse_41523,198.41278076171875,500.0257263183594,4,3209.175048828125,True,False,0.2833333333333333,0.0025904963047530846,16.015869140625,0,0,0.007808866242050588,13.313289388020833,0.4,0.6
42577,csv_mse_42577,258.4851989746094,755.842529296875,7,1382.1002197265625,True,False,0.43333333333333335,0.0024724751206496778,3.0030517578125,0,0,0.0066819160926101144,10.760774739583333,0.43333333333333335,0.1
45364,csv_mse_45364,314.5284118652344,823.4746704101562,10,3474.526123046875,True,False,0.3,0.0003793451055983659,1.4013916015625,0,0,0.008290593278693791,6.201752251519096,0.3,0.35
