2.019	3.99278193	0.038574926
2.0381	3.98208562	0.032340442
2.0575	3.97330444	0.026194564
2.0773	3.9670518	0.019019396
2.0975	3.96258678	0.012346716
2.118	3.95906937	0.006388495
2.139	3.95692571	0.000427445
2.1532	3.95697158	0
2.1749	3.95882344	0
2.197	3.96091179	0
2.2196	3.96211378	0
2.2349	3.96237006	0
2.2582	3.95952247	0
2.2741	3.95742864	0
2.2983	3.95509989	0
2.3147	3.95570455	0
2.3398	3.95854576	0
2.3568	3.96209091	0
2.374	3.967749	0
2.3916	3.96901184	0.001151303
2.4183	3.96274741	0.013333832
2.4365	3.9545907	0.020505044
2.455	3.9446909	0.024754413
2.4737	3.93505961	0.02634462
2.4927	3.92585207	0.025899339
2.5121	3.9172924	0.023813169
2.5317	3.90988855	0.021510093
2.5516	3.9040808	0.017395924
2.5719	3.89953425	0.01191031
2.5925	3.89501459	0.007411418
2.6134	3.89062133	0.003348101
2.6346	3.88777337	0
2.6562	3.88417757	0
2.6782	3.87890409	0
2.6893	3.87715017	0
2.7118	3.87673976	0
2.7347	3.87739683	0
2.7579	3.87856079	0
2.7697	3.87972474	0
2.7936	3.88005902	0
2.8179	3.87839492	0
2.8302	3.87682451	0
2.8551	3.87453687	0
2.8678	3.87225394	0
2.8934	3.86764539	0
2.9194	3.86362099	0
2.9326	3.86164359	0
2.9594	3.85859571	0
2.973	3.85699575	0
2.9867	3.85608047	0
3.0145	3.85507744	0
3.0286	3.85454197	0
3.0571	3.8570264	0
3.0716	3.8590505	0
3.0863	3.86220587	0
3.1159	3.87203149	0
3.131	3.87601523	0
3.1462	3.87817537	0
3.177	3.87962054	0
3.1927	3.87987744	0.002703596
3.2085	3.87931767	0.005652121
3.2244	3.87780902	0.008613556
3.2569	3.87273363	0.014635838
3.2733	3.86981465	0.016766145
3.2899	3.86704096	0.018151493
3.3067	3.864196	0.018891179
3.3237	3.86094406	0.018689428
3.3581	3.85459383	0.016551613
3.3756	3.85253442	0.015034998
3.3933	3.85121482	0.013282995
3.4111	3.8499294	0.011666394
3.4292	3.84816032	0.01048822
3.4474	3.84603364	0.009170641
3.4658	3.84425656	0.007538557
3.4845	3.84318715	0.006014484
3.5033	3.84233523	0.004784002
3.5224	3.84118914	0.003787078
3.5416	3.83985515	0.002960756
3.5611	3.838543	0.002025177
3.5807	3.83737714	0.000759425
3.6006	3.83589708	0
3.6207	3.83395471	0
3.6411	3.83220765	0
3.6617	3.83097699	0
3.6825	3.82964593	0
3.7035	3.8284219	0
3.7248	3.82789859	0
3.7463	3.82722466	0
3.7681	3.82647558	0
3.7901	3.82613458	0
3.8124	3.82592663	0
3.835	3.82568819	0
3.8578	3.82544971	0
3.8809	3.82531453	0
3.9043	3.82542491	0
3.928	3.82575889	0
3.9519	3.82609988	0
3.9762	3.82602001	0
4.0007	3.82551832	0
4.0255	3.82463388	0
4.0507	3.82372913	0
4.0762	3.82240962	0
4.102	3.8206762	0
4.1281	3.81894363	0
4.1546	3.81725909	0
4.1814	3.81587341	0
4.2085	3.81458669	0
4.236	3.81146525	0
4.2639	3.80819648	0
4.2921	3.80427551	0
4.3208	3.80003364	0
4.3498	3.79766763	0
4.3791	3.79541099	0
4.4089	3.79281642	0
4.4391	3.78962747	0
4.4697	3.78456267	0
4.5008	3.77734554	0
4.5323	3.77006357	0
4.5642	3.77013114	0
4.5965	3.77382146	0
4.6294	3.77996412	0
4.6627	3.78626567	0
4.6965	3.79256701	0
4.7308	3.7968202	0
4.7655	3.79948554	0
4.8008	3.80085102	0
4.8367	3.79745429	0
4.873	3.79439327	0
4.91	3.7924218	0
4.9474	3.79061059	0
4.9855	3.78806621	0
5.0241	3.7857429	0
5.0634	3.78544881	0
5.1033	3.78485017	0
5.1438	3.78303785	0
5.1849	3.78060459	0
5.2267	3.77815632	0
5.2692	3.77782289	0
5.3124	3.7784198	0
5.3563	3.78113022	0
5.4009	3.78316181	0
5.4463	3.78227794	0
5.4925	3.78015433	0
5.5394	3.779234	0
5.5872	3.77790031	0
5.6358	3.77440705	0
5.6852	3.77099048	0
5.7355	3.77164269	0
5.7867	3.77116557	0
5.8389	3.7696306	0
5.8919	3.76706563	0
5.946	3.76434583	0
6.0011	3.76453114	0
6.0571	3.76378789	0
6.1143	3.76286437	0
6.1725	3.76417624	0
6.2319	3.7653739	0
6.2924	3.76620759	0
6.3541	3.7668456	0
6.417	3.7660613	0
