target_index,benchmark_subset,gt_d_H_nm,gt_d_L_nm,gt_N,gt_L_c_nm,target_peak_count,baseline_nominal_valid,baseline_robust_valid,baseline_yield_r60,baseline_mse,baseline_peak_shift_nm,baseline_missing_peaks,baseline_false_peaks,teacher_nominal_valid,teacher_robust_valid,teacher_yield_r60,teacher_mse,teacher_peak_shift_nm,teacher_missing_peaks,teacher_false_peaks,hybrid_final_source,hybrid_fallback_used,hybrid_d_H_nm,hybrid_d_L_nm,hybrid_N,hybrid_L_c_nm,hybrid_nominal_valid,hybrid_robust_valid,hybrid_yield_r60,hybrid_mse,hybrid_peak_shift_nm,hybrid_missing_peaks,hybrid_false_peaks,hybrid_robustness_mse_mean,hybrid_robustness_peak_shift_mean_nm,hybrid_robustness_missing_peak_mean,hybrid_robustness_false_peak_mean
46328,strategy_1_2_engineering_use_case,305.9949951171875,878.5203247070312,9,3298.280029296875,5,False,False,0.05,0.0029921493763485885,33.63359375,0.0,0.0,False,False,0.0,0.0030429330680874726,34.034033203125,0.0,1.0,fallback_residual_refine,True,305.4714050292969,878.6615600585938,9.0,3353.010986328125,True,True,0.65,8.563303766703629e-05,3.203173828125,0.0,0.0,0.00048574773477316925,7.467460327148438,0.25,0.2
61168,strategy_1_2_engineering_use_case,213.3248291015625,543.815185546875,8,2468.64794921875,1,False,False,0.06666666666666667,0.00687554568306858,6.005859375,0.0,1.0,False,False,0.03333333333333333,0.004509990442282271,4.00390625,0.0,1.0,fallback_residual_refine,True,206.89747619628906,570.0070190429688,9.0,1002.0570678710938,True,False,0.13333333333333333,0.0029239990317899093,12.01220703125,0.0,0.0,0.006322263874310766,21.75262920673077,0.13333333333333333,0.6666666666666666
2062,strategy_1_2_engineering_use_case,312.5391845703125,801.4844970703125,4,1910.904052734375,1,True,True,0.6833333333333333,0.0004046761473929266,8.008056640625,0.0,0.0,True,True,0.55,0.0004883202219714848,14.013916015625,0.0,0.0,primary,False,313.11285400390625,811.1968383789062,4.0,1805.11376953125,True,True,0.55,0.0004883202219714848,14.013916015625,0.0,0.0,0.001135814971152199,15.507001456567796,0.016666666666666666,0.38333333333333336
86669,strategy_1_2_engineering_use_case,300.6168212890625,763.4584350585938,5,1554.9471435546875,1,True,True,0.7833333333333333,0.00024310687049028105,2.001953125,0.0,0.0,True,True,0.8,0.00023411141087395732,2.001953125,0.0,0.0,primary,False,278.9112243652344,826.7048950195312,5.0,1468.1463623046875,True,True,0.8,0.00023411141087395732,2.001953125,0.0,0.0,0.0006678215148305476,11.37802734375,0.0,0.0
49326,strategy_1_2_engineering_use_case,302.94622802734375,877.3878173828125,6,3599.82958984375,5,True,True,0.9166666666666666,0.0002030482824590577,4.003955078125,0.0,0.0,True,True,0.9666666666666667,0.00013593819867160719,4.404443359375,0.0,0.0,primary,False,303.69390869140625,877.189697265625,6.0,3613.1552734375,True,True,0.9666666666666667,0.00013593819867160719,4.404443359375,0.0,0.0,0.0008282661210661568,8.448445638020832,0.0,0.03333333333333333
10136,strategy_1_2_engineering_use_case,323.67352294921875,910.991455078125,7,1849.191650390625,4,True,True,0.95,0.00028191151943284995,1.50152587890625,0.0,0.0,True,True,0.9666666666666667,0.0002664558548676787,2.00201416015625,0.0,0.0,primary,False,308.4569396972656,949.8577880859375,7.0,1973.7301025390625,True,True,0.9666666666666667,0.0002664558548676787,2.00201416015625,0.0,0.0,0.0016904810488697496,8.675347900390625,0.0,0.0
71791,strategy_1_2_engineering_use_case,207.38327026367188,535.8433837890625,9,2484.697265625,2,True,False,0.45,0.0006251376034209642,4.00390625,0.0,0.0,True,False,0.4166666666666667,0.0017792881189058632,8.008056640625,0.0,0.0,primary,False,181.835693359375,611.9502563476562,9.0,2601.27197265625,True,False,0.4166666666666667,0.0017792881189058632,8.008056640625,0.0,0.0,0.004849719703083421,17.70103759765625,0.1,0.31666666666666665
9276,strategy_1_2_engineering_use_case,349.75,872.8421020507812,9,3603.8876953125,9,True,False,0.23333333333333334,0.0018103980945537025,9.342664930555555,0.0,0.0,True,False,0.2,0.0013741437970187865,8.00802951388889,0.0,0.0,primary,False,344.6531982421875,894.1342163085938,9.0,3591.39111328125,True,False,0.2,0.0013741437970187865,8.00802951388889,0.0,0.0,0.0025458721183553436,9.57614415082982,0.9833333333333333,0.25
45755,strategy_1_2_engineering_use_case,300.75823974609375,851.41259765625,3,5000.0,2,False,False,0.0,0.004649024021584446,46.0458984375,1.0,2.0,False,False,0.0,0.004393010254790319,44.0439453125,1.0,2.0,fallback_residual_refine,True,302.363037109375,880.4330444335938,5.0,1735.8111572265625,True,True,0.8833333333333333,0.005988050289269098,11.010986328125,0.0,0.0,0.006088884882451064,13.246555582682292,0.0,0.0
86349,strategy_1_2_engineering_use_case,205.91453552246094,624.38525390625,7,3772.341064453125,2,False,False,0.11666666666666667,0.0005524455665635467,22.02197265625,0.0,0.0,False,False,0.0,0.0011083466102409527,2.001953125,1.0,0.0,fallback_residual_refine,True,221.03939819335938,591.903564453125,8.0,1884.06982421875,True,True,0.8333333333333334,0.00041395201917095235,2.001953125,0.0,0.0,0.0014038525582683939,11.8284912109375,0.05,0.0
42577,strategy_1_2_engineering_use_case,297.63134765625,692.6384887695312,6,1508.7369384765625,1,True,True,0.8666666666666667,0.000363472919089169,2.001953125,0.0,0.0,True,True,0.9333333333333333,0.00022374088354484316,2.001953125,0.0,0.0,primary,False,275.0765380859375,760.6607055664062,6.0,1574.488037109375,True,True,0.9333333333333333,0.00022374088354484316,2.001953125,0.0,0.0,0.00043819007550083695,9.776444498697916,0.0,0.0
62383,strategy_1_2_engineering_use_case,261.2677917480469,814.0488891601562,9,4768.1298828125,2,True,False,0.4166666666666667,0.00010647150635407879,13.0130615234375,0.0,0.0,True,True,0.5,1.6724135387798674e-05,4.0040283203125,0.0,0.0,primary,False,243.59326171875,858.6708374023438,9.0,4729.51806640625,True,True,0.5,1.6724135387798674e-05,4.0040283203125,0.0,0.0,5.616118047429821e-05,8.908902994791667,0.5,0.0
909,strategy_1_2_engineering_use_case,291.4884033203125,800.1715698242188,9,1666.3843994140625,2,True,True,0.6666666666666666,0.00037746293442206616,15.0150146484375,0.0,0.0,True,True,0.5333333333333333,0.00029476009876921224,17.0169677734375,0.0,0.0,primary,False,266.5074157714844,851.9036254882812,9.0,2058.0556640625,True,True,0.5333333333333333,0.00029476009876921224,17.0169677734375,0.0,0.0,0.0003640161986188126,18.73539835611979,0.0,0.0
64128,strategy_1_2_engineering_use_case,326.1361999511719,925.303466796875,8,2001.7044677734375,5,True,False,0.4666666666666667,0.0038500670299840456,18.418359375,0.0,0.0,True,False,0.45,0.003928104927363886,18.81875,0.0,0.0,primary,False,318.3342590332031,936.2718505859375,8.0,1992.8714599609375,True,False,0.45,0.003928104927363886,18.81875,0.0,0.0,0.004534509821960697,20.332000528971353,0.05,0.016666666666666666
41285,strategy_1_2_engineering_use_case,276.4623107910156,789.0991821289062,7,3155.029296875,2,True,True,0.5833333333333334,0.0004828849612383343,1.0009765625,0.0,0.0,True,True,0.5833333333333334,2.4978443861644942e-05,5.0048828125,0.0,0.0,primary,False,280.10345458984375,776.2724609375,7.0,3164.333740234375,True,True,0.5833333333333334,2.4978443861644942e-05,5.0048828125,0.0,0.0,0.0002012444677589316,12.529158528645834,0.25,0.016666666666666666
70807,strategy_1_2_engineering_use_case,287.9736633300781,864.8787841796875,2,3090.627197265625,2,False,False,0.0,0.0034556029259701017,24.02392578125,1.0,0.0,False,False,0.0,0.0051497960576848065,38.0380859375,1.0,1.0,primary,False,296.2930603027344,804.4111938476562,2.0,3094.685546875,False,False,0.0,0.0051497960576848065,38.0380859375,1.0,1.0,0.005248828468397826,37.65163702713816,1.05,0.6666666666666666
22242,strategy_1_2_engineering_use_case,318.96002197265625,847.4774780273438,8,1817.9820556640625,4,True,True,0.9666666666666667,0.00024378260512754107,1.50152587890625,0.0,0.0,True,True,0.9666666666666667,0.00026061562967068474,0.50048828125,0.0,0.0,primary,False,307.2747802734375,882.2877807617188,8.0,1723.0184326171875,True,True,0.9666666666666667,0.00026061562967068474,0.50048828125,0.0,0.0,0.0009426538690626686,8.825492011176216,0.016666666666666666,0.0
